0       0       0x09803230      0xFFFFFFFF       0x00000000     0
0       0       0x09803630      0xFFFFFFFF       0x00000000     0
0       0       0x09804230      0xFFFFFFFF       0x00000000     0
0       0       0x09804A30      0xFFFFFFFF       0x00000000     0
0       0       0x09800234      0xFFFFFFFF       0x00004000     0
0       0       0x09800634      0xFFFFFFFF       0x00004000     0
0       0       0x09800A34      0xFFFFFFFF       0x00004000     0
0       0       0x09800E34      0xFFFFFFFF       0x00004000     0
0       0       0x09801234      0xFFFFFFFF       0x00004000     0
0       0       0x09801634      0xFFFFFFFF       0x00004000     0
0       0       0x09802234      0xFFFFFFFF       0x00004000     0
0       0       0x09802634      0xFFFFFFFF       0x00004000     0
0       0       0x09803234      0xFFFFFFFF       0x00004000     0
0       0       0x09803634      0xFFFFFFFF       0x00004000     0
0       0       0x09804234      0xFFFFFFFF       0x00004000     0
0       0       0x09804A34      0xFFFFFFFF       0x00004000     0
0       0       0x0980023C      0xFFFFFFFF       0x00000018     0
0       0       0x0980063C      0xFFFFFFFF       0x00000018     0
0       0       0x09800A3C      0xFFFFFFFF       0x00000018     0
0       0       0x09800E3C      0xFFFFFFFF       0x00000018     0
0       0       0x0980123C      0xFFFFFFFF       0x00000018     0
0       0       0x0980163C      0xFFFFFFFF       0x00000018     0
0       0       0x0980223C      0xFFFFFFFF       0x00000018     0
0       0       0x0980263C      0xFFFFFFFF       0x00000018     0
0       0       0x0980323C      0xFFFFFFFF       0x00000018     0
0       0       0x0980363C      0xFFFFFFFF       0x00000018     0
0       0       0x0980423C      0xFFFFFFFF       0x00000018     0
0       0       0x09804A3C      0xFFFFFFFF       0x00000018     0
0       0       0x09800250      0xFFFFFFFF       0x00008060     0
0       0       0x09800650      0xFFFFFFFF       0x00008060     0
0       0       0x09800A50      0xFFFFFFFF       0x00008060     0
0       0       0x09800E50      0xFFFFFFFF       0x00008060     0
0       0       0x09801250      0xFFFFFFFF       0x0000A060     0
0       0       0x09801650      0xFFFFFFFF       0x0000A060     0
0       0       0x09802250      0xFFFFFFFF       0x0000A060     0
0       0       0x09802650      0xFFFFFFFF       0x0000A060     0
0       0       0x09803250      0xFFFFFFFF       0x0000A060     0
0       0       0x09803650      0xFFFFFFFF       0x0000A060     0
0       0       0x09804250      0xFFFFFFFF       0x00008060     0
0       0       0x09804A50      0xFFFFFFFF       0x00008060     0
0       0       0x09800254      0xFFFFFFFF       0x00005507     0
0       0       0x09800654      0xFFFFFFFF       0x00005507     0
0       0       0x09800A54      0xFFFFFFFF       0x00005507     0
0       0       0x09800E54      0xFFFFFFFF       0x00005507     0
0       0       0x09801254      0xFFFFFFFF       0x00007F2D     0
0       0       0x09801654      0xFFFFFFFF       0x00007F2D     0
0       0       0x09802254      0xFFFFFFFF       0x00007F2D     0
0       0       0x09802654      0xFFFFFFFF       0x00007F2D     0
0       0       0x09803254      0xFFFFFFFF       0x00007F28     0
0       0       0x09803654      0xFFFFFFFF       0x00007F28     0
0       0       0x09804254      0xFFFFFFFF       0x0000770A     0
0       0       0x09804A54      0xFFFFFFFF       0x0000770A     0
0       0       0x09800258      0xFFFFFFFF       0x00000000     0
0       0       0x09800658      0xFFFFFFFF       0x00000000     0
0       0       0x09800A58      0xFFFFFFFF       0x00000000     0
0       0       0x09800E58      0xFFFFFFFF       0x00000000     0
0       0       0x09801258      0xFFFFFFFF       0x00000100     0
0       0       0x09801658      0xFFFFFFFF       0x00000100     0
0       0       0x09802258      0xFFFFFFFF       0x00000100     0
0       0       0x09802658      0xFFFFFFFF       0x00000100     0
0       0       0x09803258      0xFFFFFFFF       0x00000000     0
0       0       0x09803658      0xFFFFFFFF       0x00000000     0
0       0       0x09804258      0xFFFFFFFF       0x00000000     0
0       0       0x09804A58      0xFFFFFFFF       0x00000000     0
0       0       0x0980027C      0xFFFFFFFF       0x0000905A     0
0       0       0x0980067C      0xFFFFFFFF       0x0000905A     0
0       0       0x09800A7C      0xFFFFFFFF       0x0000905A     0
0       0       0x09800E7C      0xFFFFFFFF       0x0000905A     0
0       0       0x0980127C      0xFFFFFFFF       0x000090AA     0
0       0       0x0980167C      0xFFFFFFFF       0x000090AA     0
0       0       0x0980227C      0xFFFFFFFF       0x000090AA     0
0       0       0x0980267C      0xFFFFFFFF       0x000090AA     0
0       0       0x0980327C      0xFFFFFFFF       0x000090AA     0
0       0       0x0980367C      0xFFFFFFFF       0x000090AA     0
0       0       0x0980427C      0xFFFFFFFF       0x0000905A     0
0       0       0x09804A7C      0xFFFFFFFF       0x0000905A     0
0       0       0x09800280      0xFFFFFFFF       0x00000800     0
0       0       0x09800680      0xFFFFFFFF       0x00000800     0
0       0       0x09800A80      0xFFFFFFFF       0x00000800     0
0       0       0x09800E80      0xFFFFFFFF       0x00000800     0
0       0       0x09801280      0xFFFFFFFF       0x00000800     0
0       0       0x09801680      0xFFFFFFFF       0x00000800     0
0       0       0x09802280      0xFFFFFFFF       0x00000800     0
0       0       0x09802680      0xFFFFFFFF       0x00000800     0
0       0       0x09803280      0xFFFFFFFF       0x00000800     0
0       0       0x09803680      0xFFFFFFFF       0x00000800     0
0       0       0x09804280      0xFFFFFFFF       0x00000800     0
0       0       0x09804A80      0xFFFFFFFF       0x00000800     0
0       0       0x0980028C      0xFFFFFFFF       0x00000363     0
0       0       0x0980068C      0xFFFFFFFF       0x00000363     0
0       0       0x09800A8C      0xFFFFFFFF       0x00000363     0
0       0       0x09800E8C      0xFFFFFFFF       0x00000363     0
0       0       0x0980128C      0xFFFFFFFF       0x0000036F     0
0       0       0x0980168C      0xFFFFFFFF       0x0000036F     0
0       0       0x0980228C      0xFFFFFFFF       0x0000036F     0
